model,train_acc,test_acc,train_test_gap,cv_mean_f1,cv_std_f1,cv_test_gap,precision,recall,f1,roc_auc,pr_auc,ks,brier,threshold
NeuralNet,0.8691,0.7483,0.1208,0.4827,0.0699,0.0634,0.3377,0.5532,0.4194,0.6912,0.3549,0.3467,0.1802,0.504
LogisticRegression,0.7266,0.6361,0.0905,0.4459,0.0365,0.0954,0.34,0.3617,0.3505,0.6111,0.266,0.2281,0.2328,0.6793
SGD,0.7085,0.6259,0.0827,0.4364,0.062,0.0949,0.2763,0.4468,0.3415,0.6249,0.2772,0.2325,0.2289,0.5769
GaussianNB,0.7128,0.6156,0.0971,0.408,0.0183,0.0786,0.2276,0.5957,0.3294,0.6103,0.2323,0.2111,0.3075,0.4467
GradientBoosting,0.8745,0.7517,0.1228,0.3949,0.1023,0.0779,0.2222,0.5532,0.3171,0.5746,0.2172,0.1848,0.1817,0.3168
ExtraTrees,0.9606,0.7313,0.2293,0.4096,0.0538,0.1039,0.2182,0.5106,0.3057,0.5646,0.2274,0.1625,0.1978,0.4141
RandomForest,0.9713,0.7381,0.2332,0.4022,0.1015,0.0965,0.2182,0.5106,0.3057,0.5449,0.219,0.1625,0.1836,0.3123
CatBoost,0.8479,0.7347,0.1132,0.4253,0.0848,0.1237,0.2045,0.5745,0.3017,0.5699,0.2204,0.1563,0.1829,0.2705
DecisionTree,0.7372,0.585,0.1522,0.3273,0.0577,0.0263,0.195,0.6596,0.301,0.5473,0.1909,0.1414,0.2536,0.2258
XGBoost,0.9511,0.6871,0.264,0.4035,0.033,0.105,0.181,0.8511,0.2985,0.5648,0.2494,0.1391,0.2319,0.0649
AdaBoost,0.7394,0.6463,0.0931,0.4302,0.0728,0.1325,0.2066,0.5319,0.2976,0.5583,0.2101,0.1433,0.2342,0.4917
LightGBM,1.0,0.7653,0.2347,0.3824,0.0544,0.0967,0.1708,0.8723,0.2857,0.5336,0.1953,0.1027,0.2058,0.0003
KNN,1.0,0.6122,0.3878,0.3566,0.0198,0.081,0.1599,1.0,0.2757,0.5335,0.1807,0.1137,0.2906,
BernoulliNB,0.4372,0.3776,0.0597,0.2829,0.0201,0.0072,0.1599,1.0,0.2757,0.4975,0.1624,0.06,0.2832,0.0805
